index,programa,radio,banda,ciudad,provincia,pais,inicio,duracion,usuario,reproducciones,etiquetas,titulo,descripcion,link
1,equipo-deportivo,La Redonda,FM,La Plata,Buenos Aires,Argentina,2024-08-13T22:34:58+00:00,1854,mariano94,65,,Entrevista a Ricardo Casal en El Equipo Deportivo,Nota al Ex Ministro de Justicia sobre el fideicomiso.,https://radiocut.fm/audiocut/entrevista-a-ricardo-casal-en-equipo-deportivo
2,basta-de-todo,Metro 95.1,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2017-04-11T20:19:57+00:00,1946,leandro108,7978,,Basta de todo con Residente (Rene),Entrevista en Basta de Todo a Rene (Residente),https://radiocut.fm/audiocut/basta-de-todo-con-residente-rene-1
3,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T12:05:26+00:00,137,RadioAM750,171,,El editorial de Víctor Hugo Morales,Volvé a escuchar el editorial de VHM por la 750. ,https://radiocut.fm/audiocut/editorial-victor-hugo-morales-6681
4,caballero-dia-3,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T12:11:52+00:00,1734,somosradio,71,"caballero de día, conversatorio, somos radio am 530",Conversatorio de miércoles 14/8 en Caballero De Día,"El habitual conversatorio con Marcos Cittadini, Amado Boudou, Sebastián Rinconet y Camilo García",https://radiocut.fm/audiocut/conversatorio-miercoles-14-8-en-caballero-dia
5,todo-este-ruido-1, Radio Provincia Am1270,AM,La Plata,Buenos Aires,Argentina,2024-08-08T15:55:25+00:00,154,hergarcia78,3064,"charly garcía, la lógica del escorpión",Yo ya sé - ¿Adelanto de La Lógica del escorpión? ,Yo ya sé - Adelanto de La Lógica del escorpión ,https://radiocut.fm/audiocut/yo-ya-se-adelanto-logica-del-escorpion
6,pase-lo-pase-3,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T13:28:43+00:00,2095,yorecorto,64,camila perochena,"Camila Perochena, historiadora en el pase","Camila Perochena (primero todos sus antecedentes) Muy  intersante, Cristina, violencia hacia las mujeres, Alfonsin, el campo. ",https://radiocut.fm/audiocut/camila-perochena-historiadora-en-pase
7,jugo-limon,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T23:05:27+00:00,630,somosradio,20,"jugo de limón, sandra russo, somos radio am 530","Editorial de Sandra Russo: ""Cristina dijo lo suyo"" ","El editorial de Sandra Russo, en #JugoDeLimón ",https://radiocut.fm/audiocut/editorial-sandra-russo-cristina-dijo-lo-suyo
8,una-nueva-aventura,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T20:40:30+00:00,381,RadioAM750,19,ferrocarril oeste,El gran gesto del voley de Ferro con las familias de desaparecidos y desaparecidas,La columna de Ariel Scher sobre el homenaje que le rindieron las jugadoras de Ferro a familiares de desaparecidos y desaparecidas.,https://radiocut.fm/audiocut/gran-gesto-del-voley-ferro-con-familias-desaparecidos-y-desaparecidas
9,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T12:15:44+00:00,645,dderosa,45,,Fukuyama no se equivocó. La guerra contra la 3era posición ,Lo que se viene si gana Trump,https://radiocut.fm/audiocut/fukuyama-no-se-equivoco-guerra-contra-3era-posicion
10,cohete-a-luna,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-11T12:03:46+00:00,4174,somosradio,1512,"am 530, am 530 somos radio, el cohete a la luna, horacio verbitsky, somos radio",Horacio Verbitsky - Ojo Negro - El Cohete a la Luna,"""Ojo Negro"". La primera entrevista de Alberto Fernández con un medio argentino y sus excusas. Alberto Fernández le dio su versión de los hechos al Cohete en una entrevista de una hora y cuarto en la mañana del viernes 9, con la condición de que no se publique antes de la otra entrevista que concedió, al diario español El País, que debería salir hoy. El ex Presidente alega que el hematoma no se debe a un golpe, sino a un tratamiento estético contra las arrugas. Los medios que siguen cada minuto del caso, recuerdan que también en 2021 Fernández primero negó que se hubiera producido el festejo en Olivos, luego puso en duda la autenticidad de la foto y terminó por incriminar a su pareja. El editorial de Horacio Verbitsky del 11/08/2024 en El Cohete a la Luna.",https://radiocut.fm/audiocut/horacio-verbitsky-ojo-negro-cohete-a-luna
11,una-nueva-manana,Paraíso 42,FM,El Bolsón,Río Negro,Argentina,2024-08-14T14:22:08+00:00,2719,Paraiso42,28,,ERIC MOLINA ,Eric Molina sobre los hechos ocurridos el domingo en RINCON INALEF,https://radiocut.fm/audiocut/eric-molina
12,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:20:26+00:00,341,somosradio,38,"cristina kirchner, jorge duarte, siempre es hoy, somos radio am 530",Móvil de Jorge Duarte desde el Instituto Patria,La cobertura de la causa por el intento de magnicidio a Cristins Kirchner,https://radiocut.fm/audiocut/movil-jorge-duarte-desde-instituto-patria
13,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T11:11:16+00:00,718,dderosa,53,,Juana Viale Kuka,"Solo en Narnia, dónde vive Milei. El método ",https://radiocut.fm/audiocut/juana-viale-kuka
14,voz-del-estadio-1,GDM Radio,IN,Mar del Plata,Buenos Aires,Argentina,2024-08-14T22:40:34+00:00,424,jorgejaskilioff,14,,"Lucia Correa :   RECIÉN OPERADA DEL CORAZÓN, ELIGIÓ VER EL PARTIDO DE ALVARADO.. Y SIGUE VIVA !! ","Lucia Correa :   RECIÉN OPERADA DEL CORAZÓN, ELIGIÓ VER EL PARTIDO DE ALVARADO.. Y SIGUE VIVA !! ",https://radiocut.fm/audiocut/lucia-correa-recien-operada-del-corazon-eligio-ver-partido-alvarado-y-sigue-viva
15,,La Súper,FM,General Roca,Río Negro,Argentina,2024-08-14T18:31:47+00:00,1274,danielnestares,24,,Sergio Riquelme  - Club San Carlos,Sergio Riquelme - Club San Carlos,https://radiocut.fm/audiocut/sergio-riquelme-club-san-carlos
16,marca-de-radio,La Red,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-10T14:04:51+00:00,2125,aliciafernandez,917,,Reportaje a Ricardo Aronskind,Ricardo Aronskind hace un excelente análisis del momento político y del estado del campo popular y su conducción política,https://radiocut.fm/audiocut/reportaje-a-ricardo-aronskind-2
17,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T11:53:27+00:00,345,dderosa,40,,Sacando el humo de la causa Fiambrola ,Ercolini no puede estar,https://radiocut.fm/audiocut/sacando-humo-causa-fiambrola
18,a-primera-hora-2,LU14,AM,Río Gallegos,Santa Cruz,Argentina,2024-08-14T13:34:32+00:00,350,almadediamante,37,,#EntrevistaLU14 Matias Delgado,"En ""A Primera Hora"" Alejandra Levill mantuvo una conversación telefónica con el Secretario General de la Seccional Río Turbio de la Asociación de Trabajadores del Estado (ATE) – Se dialogó sobre la situación en YCRT tras el atraso de pagos a trabajadores y jubilados. Espera del carbón para ser embarcado.",https://radiocut.fm/audiocut/entrevistalu14-matias-delgado-1
19,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:01:55+00:00,102,LucianoWitt,36,,Andrés Larroque en AM 530,Móvil de Andrés Larroque con Daniel Tognetti,https://radiocut.fm/audiocut/andres-larroque-en-am-530-1
20,en-dia-a-dia,Radio República AM 770,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:33:09+00:00,1210,REPUBLICA,26,,"Marina Blanco: ""Las biblotecas son transversales a cualquier partido politico"" ","""En el dia a dia"" Abigail Lassalle recibio en el estudio de Radio Republica a Marina ""Maku"", integrante del colectivo federal de Bibliotecas Populares en Lucha y parte de la comisión directiva de la Biblioteca Popular y Casa de la Cultura Estación Manzanares (en Pilar, Prov. de Bs. As) y Oscar Rodriguez, biblotecario sobre la situacion de crisis que estan atravesando las Biblotecas Populares. ",https://radiocut.fm/audiocut/marina-blanco-biblotecas-son-transversales-a-cualquier-partido-politico
21,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T11:15:59+00:00,500,HernanO,139,,Julia Mengolini,Tenembaun sobre lo que dijo Julia Mengolini,https://radiocut.fm/audiocut/julia-mengolini-4
22,siempre-es-hoy-1,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T14:27:13+00:00,579,somosradio,138,"rulo dellatorre, siempre es hoy, somos radio am 530",Columna Rulo Dellatorre,La habitual columna de #SiempreEsHoy,https://radiocut.fm/audiocut/columna-rulo-dellatorre-9
23,la-inmensa-minoria,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T14:07:16+00:00,301,jor11231,30,adorni,Respuesta a Adorni,Sietecasse responde a Adorni,https://radiocut.fm/audiocut/respuesta-a-adorni
24,vuelvan-ideas,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T19:29:39+00:00,156,somosradio,14,"cristian girard, que vuelvan las ideas, somos radio am 530",Declaraciones de Cristian Girard ,"Cristian Girad, Director ejecutivo de ARBA, en #QueVuelvanLasIdeas ",https://radiocut.fm/audiocut/declaraciones-cristian-girard
25,no-se-corte-965, La 965 - Residencias ,FM,Mar del Plata,Buenos Aires,Argentina,2024-08-02T23:24:33+00:00,2874,quenosecorte,14,"artistas independientes, artistas marplatenses, punk","Entrevista a las bandas Jueves, Lost Girasoles, Altos Mutantes y Locover","En Que no se corte, entrevistamos a cuatro bandas a la vez: Lost Girasoles, Jueves, Locover y Altos Mutantes. Nos contaron acerca de la historia de cada banda, los planes a futuro que tienen y también mencionaron una próxima fecha donde las cuatro bandas se presentarán juntas, en una misma noche. ",https://radiocut.fm/audiocut/entrevista-a-bandas-jueves-lost-girasoles-altos-mutantes-y-locover
26,renzis-ayer-y-hoy,Belgrano,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T10:25:47+00:00,1069,EmilioRoman,108,"2001, 7 de agost, aceiteros, argentinazo, arnoldo gomez, ayer y hoy de renzis, cambio, ccc, chaco, conaduh, default, deuda externa usuraria, fnc, miei, napalpi, originario, paro docentes universitarios, pueblo en lucha, san cayetanos, unidad popular",ARGENTINA OCULTA CON ARNOLDO GOMEZ EN AYER Y HOY DE RENZIS,En su columna de los lunes Gómez retoma el balance de lo que lo que significo  y no fue visibilizado suficientemente: la jornada del 7 de agosto en Plaza de Mayo y en toda Nación. Y las múltiples luchas que recorren el país como es la lucha de los aceiteros y la marcha de los originarios que conmociona al Chaco Y que pone en discusión cual es la salida en la Argentina.,https://radiocut.fm/audiocut/argentina-oculta-con-arnoldo-gomez-en-ayer-y-hoy-renzis-7
27,juego-vida-junto-a-vos,META RAMALLO,FM,Provincia Buenos Aires,Buenos Aires,Argentina,2024-08-14T13:43:50+00:00,1133,MetaRamallo,10,,Marisol Aldazabal - docente EET N°2,"Proyecto ""Tapa, tapita, tapón"" (Feria de Ciencias)",https://radiocut.fm/audiocut/marisol-aldazabal-docente-eet-ndeg2
28,la-manana-con-victor-hugo,AM 750,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:04:45+00:00,210,RadioAM750,1227,,El editorial de Víctor Hugo Morales,Volvé a escuchar el editorial de VHM por la 750. ,https://radiocut.fm/audiocut/editorial-victor-hugo-morales-9886
29,fuera-tiempo,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T02:25:11+00:00,1897,adondeestamiamiga,20,"claudio katz, coyuntura, economía, izquierda, milei, política",Claudio Katz caracteriza la coyuntura económica y política argentina,"El economista Claudio Katz analiza la actual coyuntura política y económica argentina. Plan económico de Milei, contexto internacional, correlación de fuerzas.  ",https://radiocut.fm/audiocut/claudio-katz-caracteriza-coyuntura-economica-y-politica-argentina
30,jugo-limon,AM 530 - Somos Radio,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-13T23:03:46+00:00,979,somosradio,104,"jugo de limón, sandra russo, somos radio am 530","Editorial de Sandra Russo: ""Y mientras tanto..."" ",Editorial de Sandra Russo en #JugoDeLimón ,https://radiocut.fm/audiocut/editorial-sandra-russo-y-mientras-tanto
31,y-ahora-quien-podra-ayudarno,Con Vos,FM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-12T12:46:38+00:00,1047,yorecorto,301,maria o donnell,Maria O Donnell sobre el reportaje en Infobae,"Maria O Donnell y su marido televisivo Tenembaum. Sobre la cobertura de Alberto Fernandez, fabiola, mujeres de visita, etc",https://radiocut.fm/audiocut/maria-o-donnell-sobre-reportaje-en-infobae
32,pase-lo-pase-2,El Destape 1070,AM,Ciudad de Buenos Aires,Ciudad Autónoma de Buenos Aires,Argentina,2024-08-14T18:57:24+00:00,269,Pablotomas,15,,Xke la kisieron matar a Cristina ,Magistral explicación de Ubeira ,https://radiocut.fm/audiocut/xke-kisieron-matar-a-cristina
